route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Lour02Bala04-18,Balard,,0,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526634,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac12CLac16-7,Balard,,0,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526636,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala04CLac14-3,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526640,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526643,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Bala01CLac12-5,Balard,,0,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141265,Porte de Choisy,,0,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526649,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526650,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526655,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526658,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526662,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Pref02Bala02-18,Balard,,0,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Pref02Bala02-6,Balard,,0,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141266,Porte de Choisy,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala03Lour01-9,Créteil-Pointe du Lac,,1,,,2,0
