route_id,mode_transport,route_short_name,route_type
IDFM:C01541,Bus,5150,3
IDFM:C01285,Bus,321,3
IDFM:C01283,Bus,320,3
IDFM:C01542,Bus,5151,3
IDFM:C01263,Bus,286,3
IDFM:C01869,Bus,5102,3
IDFM:C01870,Bus,5115,3
IDFM:C02170,Bus,5113,3
IDFM:C01279,Bus,312,3
IDFM:C01278,Bus,310,3
IDFM:C02216,Bus,5123,3
IDFM:C02217,Bus,5124,3
IDFM:C02218,Bus,5125,3
IDFM:C00197,Bus,15,3
IDFM:C01232,Bus,220,3
IDFM:C00216,Bus,45,3
IDFM:C01227,Bus,213,3
IDFM:C01550,Bus,703,3
IDFM:C01324,Bus,467,3
IDFM:C01226,Bus,212,3
IDFM:C01578,Bus,607,3
IDFM:C01225,Bus,211,3
IDFM:C01579,Bus,609,3
IDFM:C01222,Bus,207,3
IDFM:C01082,Bus,32,3
IDFM:C01583,Bus,615,3
IDFM:C01221,Bus,206,3
IDFM:C01584,Bus,616,3
IDFM:C01586,Bus,618,3
IDFM:C00639,Bus,EX 19,3
IDFM:C00033,Bus,B,3
IDFM:C00031,Bus,A,3
IDFM:C02732,Tram,T14,0
IDFM:C01588,Bus,620,3
IDFM:C01999,Tram,T11,0
IDFM:C01089,Bus,48,3
IDFM:C01591,Bus,637,3
IDFM:C01594,Bus,642,3
IDFM:C01321,Bus,396,3
IDFM:C02630,Bus,612,3
IDFM:C01843,Tram,T4,0
IDFM:C00018,Bus,3119,3
IDFM:C00027,Bus,7716,3
IDFM:C00546,Bus,3101,3
IDFM:C00550,Bus,3121,3
IDFM:C00551,Bus,423,3
IDFM:C02107,Bus,3137,3
IDFM:C02617,Bus,3102,3
IDFM:C00786,Bus,3409,3
IDFM:C00793,Bus,3401,3
IDFM:C00794,Bus,3404,3
IDFM:C00799,Bus,3439,3
IDFM:C01444,Bus,3438,3
IDFM:C01450,Bus,3433,3
IDFM:C01494,Bus,3407,3
IDFM:C01947,Bus,3408,3
IDFM:C02159,Bus,3421,3
IDFM:C00798,Bus,Ex46,3
IDFM:C01435,Bus,3301,3
IDFM:C01436,Bus,3303,3
IDFM:C01437,Bus,3304,3
IDFM:C01443,Bus,3302,3
IDFM:C02795,Bus,1433,3
IDFM:C02257,Bus,95-29,3
IDFM:C01451,Bus,3319,3
IDFM:C00191,Bus,11,3
IDFM:C02041,Bus,CitéVal F,3
IDFM:C02006,Bus,30-49,3
IDFM:C02005,Bus,30-03,3
IDFM:C01878,Bus,30-07,3
IDFM:C00205,Bus,30 B,3
IDFM:C01875,Bus,30-48,3
IDFM:C01709,Bus,30-47,3
IDFM:C00484,Bus,3801,3
IDFM:C00479,Bus,Navette,3
IDFM:C01088,Bus,47,3
IDFM:C00477,Bus,95-21,3
IDFM:C00476,Bus,95-20,3
IDFM:C00207,Bus,R8,3
IDFM:C00208,Bus,31,3
IDFM:C00473,Bus,95-19,3
IDFM:C00472,Bus,95-03B,3
IDFM:C00471,Bus,95-03A,3
IDFM:C00211,Bus,33,3
IDFM:C00224,Bus,Gbus,3
IDFM:C01083,Bus,38,3
IDFM:C00445,Bus,30-12,3
IDFM:C00228,Bus,R1,3
IDFM:C01318,Bus,393,3
IDFM:C00444,Bus,30-11,3
IDFM:C00443,Bus,30-10,3
IDFM:C00442,Bus,30-09,3
IDFM:C00437,Bus,30-05,3
IDFM:C00229,Bus,R2,3
IDFM:C02625,Bus,1235,3
IDFM:C00231,Bus,R4,3
